Job Number,Borough Name,Count Permits,First Permit Date,Current Date,Age,Permit Expiration Date,Sidewalk Shed/Linear Feet,Construction Material,Current Job Status,BIN Number,Community Board,Latitude Point,Longitude Point,House Number,Street Name,Borough Digit,Block,Lot,Applicant Business Name,ProCert,Source,activity,Commercial,CouncilDistrict
M01289492-I1,MANHATTAN,,9/19/2025,11/4/2025,45,1/12/2026,19.0,,Permit Entire,1083724,105,40.76426,-73.9804,147,WEST   55 STREET,1,1008,1,GEIGER E&A GROUP CORP.,1,DOB NOW,Local Law 11,Commercial District/Overlay,06
M01289521-I1,MANHATTAN,,9/19/2025,11/4/2025,45,12/20/2025,545.0,,Permit Entire,1089704,111,40.78602,-73.94474,301,EAST   99 STREET,1,1671,1,ASHRAF CORP,1,DOB NOW,Local Law 11,Commercial District/Overlay,08
M01289526-I1,MANHATTAN,,9/19/2025,11/4/2025,45,5/25/2026,109.0,,Permit Entire,1046924,108,40.78238,-73.95896,4,EAST   88 STREET,1,1499,65,PR,1,DOB NOW,Local Law 11,Other Zoning Districts,04
Q01275209-I1,QUEENS,,9/19/2025,11/4/2025,45,2/21/2026,510.0,,Permit Entire,4114294,407,40.75802,-73.82586,41-40,UNION STREET,4,5045,7501,S&J ENGINEERS PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,20
Q01285639-I1,QUEENS,,9/19/2025,11/4/2025,45,9/19/2026,143.0,,Permit Entire,4537568,414,40.57719,-73.83845,130,BEACH  119 STREET,4,16228,7501,Always Fast Services Corp,1,DOB NOW,Local Law 11,Other Zoning Districts,32
Q01287179-I1,QUEENS,,9/19/2025,11/4/2025,45,7/20/2026,91.0,,Permit Entire,4015377,401,40.77258,-73.90596,40-06,DITMARS BOULEVARD,4,795,32,PR,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,22
Q01198828-I1,QUEENS,,9/19/2025,11/4/2025,45,5/25/2026,62.0,,Permit Entire,4619943,407,40.77987,-73.77689,213-25,26 AVENUE,4,5900,2,PR,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,19
X01289480-I1,BRONX,,9/19/2025,11/4/2025,45,8/1/2026,78.0,,Permit Entire,2021479,209,40.81547,-73.86035,505,SOUNDVIEW AVENUE,2,3524,3,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,18
X01289516-I1,BRONX,,9/19/2025,11/4/2025,45,12/6/2025,60.0,,Permit Entire,2017173,207,40.87039,-73.88976,2874,GRAND CONCOURSE,2,3305,21,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,15
X01290166-I1,BRONX,,9/19/2025,11/4/2025,45,3/2/2026,49.0,,Permit Entire,2002066,204,40.82955,-73.91191,1100,CLAY AVENUE,2,2426,2,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,16
X01280870-I1,BRONX,,9/19/2025,11/4/2025,45,8/1/2026,81.0,,Permit Entire,2130518,208,40.87963,-73.90873,3019,CORLEAR AVENUE,2,5711,45,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,11
X01280874-I1,BRONX,,9/19/2025,11/4/2025,45,8/1/2026,90.0,,Permit Entire,2083204,208,40.87968,-73.90868,3021,CORLEAR AVENUE,2,5711,44,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,11
X01279020-I1,BRONX,,9/19/2025,11/4/2025,45,5/14/2026,621.0,,Permit Entire,2131024,201,40.80613,-73.91028,750,EAST  141 STREET,2,2570,18,RIGID STRUCTURAL DESIGN  LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,08
X01287660-I1,BRONX,,9/19/2025,11/4/2025,45,4/1/2026,330.0,,Permit Entire,2023368,209,40.82394,-73.87935,1499,BRUCKNER BOULEVARD,2,3712,1,BLACK SHEEP ENGINEERING GROUP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,17
S01289367-I1,STATEN ISLAND,,9/19/2025,11/4/2025,45,6/15/2026,218.0,,Permit Entire,5046122,502,40.59421,-74.06251,70,FATHER CAPODANNO BOULEVARD,5,3125,96,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,50
S01286380-I1,STATEN ISLAND,,9/18/2025,11/4/2025,46,12/20/2025,345.0,,Permit Entire,5132507,502,40.59782,-74.12792,150,BRIELLE AVENUE,5,955,25,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,50
X01284335-I1,BRONX,,9/18/2025,11/4/2025,46,1/24/2026,180.0,,Permit Entire,2097315,207,40.8726,-73.89461,2853,PAUL AVENUE,2,3247,1,CONAPAC SERVICES  DBA,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,11
Q01289329-I1,QUEENS,,9/18/2025,11/4/2025,46,2/18/2026,170.0,,Permit Entire,4432202,402,40.73949,-73.9069,47-50,59 STREET,4,2319,10,S&J Engineers PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,26
Q01288517-I1,QUEENS,,9/18/2025,11/4/2025,46,9/18/2026,140.0,,Permit Entire,4200757,409,40.68956,-73.82021,101-66,125 STREET,4,9491,37,BANGASH ASSOCIATES INC.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,29
M01282442-I1,MANHATTAN,,9/18/2025,11/4/2025,46,7/5/2026,773.0,,Permit Entire,1078911,111,40.78779,-73.95047,110,EAST   99 STREET,1,1626,1,BITOPI CONSULTANTS LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,08
M01282446-I1,MANHATTAN,,9/18/2025,11/4/2025,46,7/5/2026,736.0,,Permit Entire,1078912,111,40.78779,-73.95047,1536,LEXINGTON AVENUE,1,1626,1,BITOPI CONSULTANTS LLC,1,DOB NOW,Local Law 11,Commercial District/Overlay,08
M01282988-I1,MANHATTAN,,9/18/2025,11/4/2025,46,3/6/2026,217.0,,Permit Entire,1020204,106,40.74665,-73.97577,225,EAST   36 STREET,1,917,17,CONAPAC SERVICES  DBA,1,DOB NOW,Local Law 11,Commercial District/Overlay,04
M01285615-I1,MANHATTAN,,9/18/2025,11/4/2025,46,2/13/2026,202.0,,Permit Entire,1055119,110,40.80129,-73.95444,200,WEST  113 STREET,1,1828,34,JOEL PHAGOO P.E. PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts,09
M01285435-I1,MANHATTAN,,9/18/2025,11/4/2025,46,2/8/2026,290.0,,Permit Entire,1082315,111,40.7898,-73.9513,1465,MADISON AVENUE,1,1605,24,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts,08
M01285439-I1,MANHATTAN,,9/18/2025,11/4/2025,46,2/8/2026,319.0,,Permit Entire,1079192,111,40.7898,-73.9513,1330,PARK AVENUE,1,1605,24,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts,08
M01279795-I1,MANHATTAN,,9/18/2025,11/4/2025,46,12/11/2025,1339.0,,Permit Entire,1080644,105,40.73976,-73.9939,620,6 AVENUE,1,820,7505,ASHRAF CORP,1,DOB NOW,Local Law 11,Commercial District/Overlay,03
B01280012-I1,BROOKLYN,,9/18/2025,11/4/2025,46,3/2/2026,159.0,,Permit Entire,3058733,302,40.68744,-73.9768,88,FORT GREENE PLACE,3,2097,77,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,35
B01279932-I1,BROOKLYN,,9/18/2025,11/4/2025,46,9/18/2026,172.0,,Permit Entire,3055849,302,40.68595,-73.97069,50,GREENE AVENUE,3,1957,30,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,35
B01284730-I1,BROOKLYN,,9/18/2025,11/4/2025,46,7/26/2026,128.0,,Permit Entire,3159746,311,40.61138,-73.99149,7400,20 AVENUE,3,6217,36,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,43
B01287489-I1,BROOKLYN,,9/18/2025,11/4/2025,46,12/20/2025,30.0,,Permit Entire,3115792,309,40.6559,-73.9596,709,FLATBUSH AVENUE,3,5048,3,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,40
B01288152-I1,BROOKLYN,,9/18/2025,11/4/2025,46,11/16/2025,64.0,,Permit Entire,3054701,303,40.69633,-73.95872,448,PARK AVENUE,3,1898,38,Soni Engineering Consulting,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,33
B01288586-I1,BROOKLYN,,9/18/2025,11/4/2025,46,8/10/2026,60.0,,Permit Entire,3000695,302,40.68787,-73.98652,351,ATLANTIC AVENUE,3,177,57,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,33
B01286891-I1,BROOKLYN,,9/18/2025,11/4/2025,46,3/1/2026,31.0,,Permit Entire,3114609,309,40.65868,-73.96083,606,FLATBUSH AVENUE,3,5026,154,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,40
B01263330-I1,BROOKLYN,,9/18/2025,11/4/2025,46,12/20/2025,865.0,,Permit Entire,3039983,316,40.6859,-73.91713,33,SARATOGA AVENUE,3,1492,1,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts,41
B01287218-I1,BROOKLYN,,9/17/2025,11/4/2025,47,3/13/2026,619.0,,Permit Entire,3335884,302,40.69744,-73.98608,25,CHAPEL STREET,3,118,6,MJE PROFESSIONAL SERVICES,1,DOB NOW,Local Law 11,Commercial District/Overlay,33
B01287360-I1,BROOKLYN,,9/17/2025,11/4/2025,47,4/1/2026,75.0,,Permit Entire,3430220,303,40.69662,-73.95403,82,SANFORD STREET,3,1736,10,BLACK SHEEP ENGINEERING GROUP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,33
B01286283-I1,BROOKLYN,,9/17/2025,11/4/2025,47,11/29/2025,43.0,,Permit Entire,3000880,302,40.68722,-73.98626,366,ATLANTIC AVENUE,3,183,17,ALTAGRACIA ESTHER MARTINEZ  R.A.,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,33
B01285940-I1,BROOKLYN,,9/17/2025,11/4/2025,47,12/22/2025,31.0,,Permit Entire,3058893,302,40.68934,-73.97434,8,SOUTH OXFORD STREET,3,2100,42,KMA DESIGNS LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,35
B01287790-I1,BROOKLYN,,9/17/2025,11/4/2025,47,9/17/2026,83.0,,Permit Entire,3327521,305,40.6623,-73.87341,555,WORTMAN AVENUE,3,4522,31,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,42
B01061127-S1,BROOKLYN,,9/17/2025,11/4/2025,47,12/1/2025,52.0,,Permit Entire,3118107,317,40.64525,-73.9493,2919,BEVERLEY ROAD,3,5140,35,KENNY LEE ARCHITECT,0,DOB NOW,Construction or Maintenance,Other Zoning Districts,40
M01120023-S1,MANHATTAN,,9/17/2025,11/4/2025,47,3/24/2026,35.0,,Permit Entire,1049224,108,40.7834,-73.94807,1825,2 AVENUE,1,1540,26,DEN MENDEZ RA,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,05
M01147516-S1,MANHATTAN,,9/17/2025,11/4/2025,47,3/24/2026,35.0,,Permit Entire,1049225,108,40.78346,-73.94803,1827,2 AVENUE,1,1540,27,DEN MENDEZ RA,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,05
M01282335-I1,MANHATTAN,,9/17/2025,11/4/2025,47,2/1/2026,40.0,,Permit Entire,1043881,108,40.76613,-73.96131,225,EAST   67 STREET,1,1422,17,RIGID STRUCTURAL DESIGN  LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,05
M01276054-I1,MANHATTAN,,9/17/2025,11/4/2025,47,1/26/2026,133.0,,Permit Entire,1030860,107,40.78171,-73.98067,2160,BROADWAY,1,1168,21,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,06
M01275230-I1,MANHATTAN,,9/17/2025,11/4/2025,47,7/18/2026,27.0,,Permit Entire,1036198,106,40.7535,-73.97361,150,EAST   46 STREET,1,1300,46,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,04
M01286389-I1,MANHATTAN,,9/17/2025,11/4/2025,47,7/26/2026,34.0,,Permit Entire,1002384,103,40.71624,-73.99883,76,MULBERRY STREET,1,200,5,PR,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,01
M01285037-I1,MANHATTAN,,9/17/2025,11/4/2025,47,3/31/2026,41.0,,Permit Entire,1009431,102,40.73256,-73.99653,12,5 AVENUE,1,572,43,JOEL PHAGOO P.E. PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts,02
M01285170-I1,MANHATTAN,,9/17/2025,11/4/2025,47,2/28/2026,24.0,,Permit Entire,1007190,102,40.72045,-73.9961,374,BROOME STREET,1,480,7502,LAWSON CHRISTIAN,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,01
M01287934-I1,MANHATTAN,,9/17/2025,11/4/2025,47,11/16/2025,44.0,,Permit Entire,1030546,107,40.78044,-73.98249,232,WEST   74 STREET,1,1165,52,Soni Engineering Consulting,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,06
M01287965-I1,MANHATTAN,,9/17/2025,11/4/2025,47,4/1/2026,46.0,,Permit Entire,1003139,103,40.711,-73.98291,7,GOUVERNEUR SLIP EAST,1,243,50,BLACK SHEEP ENGINEERING GROUP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,01
M01287971-I1,MANHATTAN,,9/17/2025,11/4/2025,47,4/1/2026,57.0,,Permit Entire,1024842,105,40.76423,-73.98351,250,WEST   54 STREET,1,1025,54,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,03
Q01288815-I1,QUEENS,,9/17/2025,11/4/2025,47,5/25/2026,277.0,,Permit Entire,4208889,412,40.70494,-73.79726,162-21,JAMAICA AVENUE,4,9761,83,PR,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,27
Q01288223-I1,QUEENS,,9/17/2025,11/4/2025,47,1/21/2026,240.0,,Permit Entire,4209646,412,40.70704,-73.79261,168-02,91 AVENUE,4,9799,27,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,27
Q01285025-I1,QUEENS,,9/17/2025,11/4/2025,47,9/8/2026,158.0,,Permit Entire,4000219,402,40.74198,-73.95324,10-30,JACKSON AVENUE,4,40,15,MJE PROFESSIONAL SERVICES,1,DOB NOW,Local Law 11,Commercial District/Overlay,26
X01287555-I1,BRONX,,9/17/2025,11/4/2025,47,9/9/2026,149.0,,Permit Entire,2002603,204,40.83263,-73.91483,1175,MORRIS AVENUE,2,2449,68,MCHENERY TESTING LAB,1,DOB NOW,Local Law 11,Other Zoning Districts,16
X01283281-I1,BRONX,,9/17/2025,11/4/2025,47,7/26/2026,37.0,,Permit Entire,2002568,204,40.83147,-73.9159,1124,GRANT AVENUE,2,2449,10,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,16
X01287638-I1,BRONX,,9/16/2025,11/4/2025,48,4/30/2026,175.0,,Permit Entire,2084888,208,40.90542,-73.89932,5730,MOSHOLU AVENUE,2,5855,2239,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts,11
Q01287141-I1,QUEENS,,9/16/2025,11/4/2025,48,12/31/2025,122.0,,Permit Entire,4115108,407,40.75336,-73.83224,132-15,POPLE AVENUE,4,5102,59,Alsieux Architecture  LLC.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,20
Q01286619-I1,QUEENS,,9/16/2025,11/4/2025,48,12/22/2025,95.0,,Permit Entire,4443488,407,40.75295,-73.82065,44-55,KISSENA BOULEVARD,4,5192,1,KMA DESIGNS LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,20
Q01286626-I1,QUEENS,,9/16/2025,11/4/2025,48,12/22/2025,444.0,,Permit Entire,4443489,407,40.75295,-73.82065,44-65,KISSENA BOULEVARD,4,5192,1,KMA DESIGNS LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,20
M01282594-I1,MANHATTAN,,9/16/2025,11/4/2025,48,9/16/2026,145.0,,Permit Entire,1056410,107,40.79656,-73.9709,2609,BROADWAY,1,1870,52,RIGID STRUCTURAL DESIGN  LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,07
M01286155-I1,MANHATTAN,,9/16/2025,11/4/2025,48,2/13/2026,131.0,,Permit Entire,1087836,110,40.81164,-73.9459,2183,ADAM CLAYTON POWELL JR BOULEVARD,1,1914,7503,JOEL PHAGOO P.E. PLLC,1,DOB NOW,Local Law 11,Commercial District/Overlay,09
M01287373-I1,MANHATTAN,,9/16/2025,11/4/2025,48,12/19/2025,31.0,,Permit Entire,1006509,103,40.73094,-73.98532,305,EAST   12 STREET,1,454,68,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,02
M01286766-I1,MANHATTAN,,9/16/2025,11/4/2025,48,2/4/2026,1349.0,,Permit Entire,1084521,110,40.83099,-73.93782,2991,FREDERICK DOUGLASS BOULEVARD,1,2106,3,QUEENS ENGINEERING,1,DOB NOW,Local Law 11,Commercial District/Overlay,09
M01287080-I1,MANHATTAN,,9/16/2025,11/4/2025,48,9/16/2026,174.0,,Permit Entire,1047699,108,40.77912,-73.95752,1009,PARK AVENUE,1,1513,70,Always Fast Services Corp,1,DOB NOW,Local Law 11,Other Zoning Districts,04
M01287095-I1,MANHATTAN,,9/16/2025,11/4/2025,48,3/10/2026,616.0,,Permit Entire,1085707,108,40.76926,-73.95046,519,EAST   76 STREET,1,1488,13,PR,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,05
M01287434-I1,MANHATTAN,,9/16/2025,11/4/2025,48,9/16/2026,41.0,,Permit Entire,1053399,110,40.80554,-73.94536,24,MOUNT MORRIS PARK WEST,1,1721,17,Always Fast Services Corp,1,DOB NOW,Local Law 11,Other Zoning Districts,09
M01287483-I1,MANHATTAN,,9/16/2025,11/4/2025,48,4/1/2026,39.0,,Permit Entire,1063832,112,40.85435,-73.92895,562,WEST  190 STREET,1,2158,73,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,10
M01287492-I1,MANHATTAN,,9/16/2025,11/4/2025,48,4/1/2026,222.0,,Permit Entire,1087778,108,40.77301,-73.95494,300,EAST   79 STREET,1,1453,7501,Always Fast Services Corp,1,DOB NOW,Local Law 11,Commercial District/Overlay,05
M01287522-I1,MANHATTAN,,9/16/2025,11/4/2025,48,9/16/2026,145.0,,Permit Entire,1082441,104,40.76066,-73.99692,529,WEST   42 STREET,1,1071,7502,KMA DESIGNS LLC,1,DOB NOW,Local Law 11,Commercial District/Overlay,03
M01274654-I1,MANHATTAN,,9/16/2025,11/4/2025,48,12/31/2025,99.0,,Permit Entire,1035762,105,40.76125,-73.97448,2,EAST   55 STREET,1,1290,7502,BRAND ACCESS SOLUTIONS,1,DOB NOW,Local Law 11,Commercial District/Overlay,04
M01281256-I1,MANHATTAN,,9/16/2025,11/4/2025,48,9/16/2026,92.0,,Permit Entire,1028136,107,40.77163,-73.98022,9,WEST   64 STREET,1,1117,25,RIGID STRUCTURAL DESIGN  LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,06
M01267563-I1,MANHATTAN,,9/16/2025,11/4/2025,48,2/28/2026,35.0,,Permit Entire,1041819,108,40.77546,-73.96359,15,EAST   77 STREET,1,1392,11,LAWSON CHRISTIAN,0,DOB NOW,Construction or Maintenance,Other Zoning Districts,04
B01286543-I1,BROOKLYN,,9/16/2025,11/4/2025,48,8/1/2026,47.0,,Permit Entire,3036158,308,40.67321,-73.93484,1260,PROSPECT PLACE,3,1365,30,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,36
B01280493-I1,BROOKLYN,,9/16/2025,11/4/2025,48,7/26/2026,73.0,,Permit Entire,3393915,301,40.70732,-73.94893,38,MESEROLE STREET,3,3049,7501,PR,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,34
B01263671-I1,BROOKLYN,,9/16/2025,11/4/2025,48,1/26/2026,76.0,,Permit Entire,3141254,312,40.63051,-74.00242,1137,61 STREET,3,5717,64,ASHRAF CORP,0,DOB NOW,Construction or Maintenance,Other Zoning Districts,44
B01284516-I1,BROOKLYN,,9/15/2025,11/4/2025,49,12/11/2025,556.0,,Permit Entire,3118790,314,40.64106,-73.96109,1801,DORCHESTER ROAD,3,5161,33,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,40
B01286215-I1,BROOKLYN,,9/15/2025,11/4/2025,49,9/15/2026,383.0,,Permit Entire,3430230,313,40.57613,-73.98522,1709,SURF AVENUE,3,7061,14,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,47
B01283439-I1,BROOKLYN,,9/15/2025,11/4/2025,49,3/13/2026,29.0,,Permit Entire,3121900,307,40.65587,-73.97444,22,TEMPLE COURT,3,5257,69,FEINGOLD AND GREGORY ARCH.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,39
B01286643-I1,BROOKLYN,,9/15/2025,11/4/2025,49,3/10/2026,25.0,,Permit Entire,3204944,315,40.58687,-73.95299,1612,SHEEPSHEAD BAY ROAD,3,7459,112,Volume Space Consulting Inc,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,48
B01286654-I1,BROOKLYN,,9/15/2025,11/4/2025,49,3/10/2026,20.0,,Permit Entire,3204945,315,40.58683,-73.95294,1614,SHEEPSHEAD BAY ROAD,3,7459,113,Volume Space Consulting Inc,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,48
B01286668-I1,BROOKLYN,,9/15/2025,11/4/2025,49,3/10/2026,25.0,,Permit Entire,3204946,315,40.58679,-73.95289,1616,SHEEPSHEAD BAY ROAD,3,7459,114,Volume Space Consulting Inc,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,48
M01279923-I1,MANHATTAN,,9/15/2025,11/4/2025,49,4/1/2026,689.0,,Permit Entire,1085789,101,40.70557,-74.01753,2,WEST STREET,1,16,7513,Always Fast Services Corp,1,DOB NOW,Local Law 11,Other Zoning Districts,01
M01286378-I1,MANHATTAN,,9/15/2025,11/4/2025,49,12/6/2025,30.0,,Permit Entire,1085316,107,40.80063,-73.96076,64,WEST  109 STREET,1,1844,55,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,07
M01286396-I1,MANHATTAN,,9/15/2025,11/4/2025,49,6/26/2026,35.0,,Permit Entire,1045865,108,40.76815,-73.95512,402,EAST   73 STREET,1,1467,144,PAUL G. JONES  P.E.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,05
M01286410-I1,MANHATTAN,,9/15/2025,11/4/2025,49,6/26/2026,215.0,,Permit Entire,1045862,108,40.76823,-73.95531,1356,1 AVENUE,1,1467,7501,PAUL G. JONES  P.E.,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,05
M01286419-I1,MANHATTAN,,9/15/2025,11/4/2025,49,6/26/2026,30.0,,Permit Entire,1045864,108,40.76805,-73.95538,1352,1 AVENUE,1,1467,48,PAUL G. JONES  P.E.,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,05
M01286430-I1,MANHATTAN,,9/15/2025,11/4/2025,49,6/26/2026,30.0,,Permit Entire,1045863,108,40.76812,-73.95533,1354,1 AVENUE,1,1467,47,PAUL G. JONES  P.E.,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,05
M01286469-I1,MANHATTAN,,9/15/2025,11/4/2025,49,9/15/2026,693.0,,Permit Entire,1016304,105,40.74079,-73.98889,5,EAST   22 STREET,1,851,7501,S&J ENGINEERS PLLC,1,DOB NOW,Local Law 11,Commercial District/Overlay,02
M01285859-I1,MANHATTAN,,9/15/2025,11/4/2025,49,1/28/2026,35.0,,Permit Entire,1051720,111,40.78723,-73.95156,1257,PARK AVENUE,1,1625,2,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,08
M01282732-I1,MANHATTAN,,9/15/2025,11/4/2025,49,12/31/2025,372.0,,Permit Entire,1033195,107,40.78895,-73.9773,263,WEST   86 STREET,1,1234,7502,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,06
M01229852-I1,MANHATTAN,,9/15/2025,11/4/2025,49,9/15/2026,168.0,,Permit Entire,1047037,108,40.78455,-73.95635,1290,MADISON AVENUE,1,1503,56,S&J ENGINEERS PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,04
Q01286934-I1,QUEENS,,9/15/2025,11/4/2025,49,12/29/2025,35.0,,Permit Entire,4240477,413,40.70976,-73.73806,107-24,SPRINGFIELD BOULEVARD,4,11151,15,S&J Engineers PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,27
X01286933-I1,BRONX,,9/15/2025,11/4/2025,49,12/29/2025,150.0,,Permit Entire,2004023,201,40.8052,-73.90855,820,EAST  141 STREET,2,2592,21,S&J Engineers PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,08
X01271407-I1,BRONX,,9/15/2025,11/4/2025,49,11/16/2025,53.0,,Permit Entire,2005722,202,40.81439,-73.89867,725,SOUTHERN BOULEVARD,2,2720,30,Soni Engineering Consulting,0,DOB NOW,Construction or Maintenance,Other Zoning Districts,17
X01240703-I1,BRONX,,9/15/2025,11/4/2025,49,2/1/2026,79.0,,Permit Entire,2046183,210,40.8451,-73.82754,1610,MAHAN AVENUE,2,4173,29,RIGID STRUCTURAL DESIGN  LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,13
X01276469-I1,BRONX,,9/12/2025,11/4/2025,52,9/12/2026,60.0,,Permit Entire,2061682,212,40.87178,-73.84697,3153,SEYMOUR AVENUE,2,4759,19,Volume Space Consulting Inc,0,DOB NOW,Construction or Maintenance,Other Zoning Districts,12
X01285708-I1,BRONX,,9/12/2025,11/4/2025,52,2/15/2026,30.0,,Permit Entire,2011993,206,40.84636,-73.89254,629,EAST TREMONT AVENUE,2,3068,99,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,15
X01284744-I1,BRONX,,9/12/2025,11/4/2025,52,7/14/2026,181.0,,Permit Entire,2057274,212,40.87837,-73.86757,3520,OLINVILLE AVENUE,2,4642,6,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,12
X01279340-I1,BRONX,,9/12/2025,11/4/2025,52,12/19/2025,42.0,,Permit Entire,2017814,207,40.88192,-73.87944,3505,ROCHAMBEAU AVENUE,2,3328,125,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,11
Q01285016-I1,QUEENS,,9/12/2025,11/4/2025,52,12/19/2025,159.0,,Permit Entire,4112161,407,40.76442,-73.82915,35-18,LEAVITT STREET,4,4960,27,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,20
Q01285147-I1,QUEENS,,9/12/2025,11/4/2025,52,6/30/2026,640.0,,Permit Entire,4618795,481,40.74726,-73.84333,121-10,ROOSEVELT AVENUE,4,2018,1,Platform Solutions Inc,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,21
Q01284738-I1,QUEENS,,9/12/2025,11/4/2025,52,7/18/2026,229.0,,Permit Entire,4000512,402,40.74377,-73.95088,12-01,JACKSON AVENUE,4,60,9,ASR ENGINEERING PC,1,DOB NOW,Local Law 11,Commercial District/Overlay,26
